DEXJPUS,lag1,lag2,lag3,lag4,lag5
101.28,101.39,101.75,101.9,101.84,102.18
101.51,101.28,101.66,102.13,102.14,102.16
101.76,101.51,101.39,101.75,101.9,101.84
102.19,101.76,101.28,101.66,102.13,102.14
101.84,102.19,101.51,101.39,101.75,101.9
101.53,101.84,101.76,101.28,101.66,102.13
101.7,101.53,102.19,101.51,101.39,101.75
101.26,101.7,101.84,101.76,101.28,101.66
101.33,101.26,101.53,102.19,101.51,101.39
101.58,101.33,101.7,101.84,101.76,101.28
101.62,101.58,101.26,101.53,102.19,101.51
101.69,101.62,101.33,101.7,101.84,101.76
101.3,101.69,101.58,101.26,101.53,102.19
101.37,101.3,101.62,101.33,101.7,101.84
101.34,101.37,101.69,101.58,101.26,101.53
101.54,101.34,101.3,101.62,101.33,101.7
101.5,101.54,101.37,101.69,101.58,101.26
101.82,101.5,101.34,101.3,101.62,101.33
101.81,101.82,101.54,101.37,101.69,101.58
101.82,101.81,101.5,101.34,101.3,101.62
102.12,101.82,101.82,101.54,101.37,101.69
102.9,102.12,101.81,101.5,101.34,101.3
102.75,102.9,101.82,101.82,101.54,101.37
102.45,102.75,102.12,101.81,101.5,101.34
102.47,102.45,102.9,101.82,101.82,101.54
102.77,102.47,102.75,102.12,101.81,101.5
102.34,102.77,102.45,102.9,101.82,101.82
102.06,102.34,102.47,102.75,102.12,101.81
101.91,102.06,102.77,102.45,102.9,101.82
102.14,101.91,102.34,102.47,102.75,102.12
102.22,102.14,102.06,102.77,102.45,102.9
102.48,102.22,101.91,102.34,102.47,102.75
102.44,102.48,102.14,102.06,102.77,102.45
102.19,102.44,102.22,101.91,102.34,102.47
102.54,102.19,102.48,102.14,102.06,102.77
102.86,102.54,102.44,102.22,101.91,102.34
103.36,102.86,102.19,102.48,102.14,102.06
103.78,103.36,102.54,102.44,102.22,101.91
103.97,103.78,102.86,102.19,102.48,102.14
103.96,103.97,103.36,102.54,102.44,102.22
104.12,103.96,103.78,102.86,102.19,102.48
103.98,104.12,103.97,103.36,102.54,102.44
103.78,103.98,103.96,103.78,102.86,102.19
104,103.78,104.12,103.97,103.36,102.54
105.1,104,103.98,103.96,103.78,102.86
104.88,105.1,103.78,104.12,103.97,103.36
105.22,104.88,104,103.98,103.96,103.78
104.94,105.22,105.1,103.78,104.12,103.97
105.65,104.94,104.88,104,103.98,103.96
106.32,105.65,105.22,105.1,103.78,104.12
106.76,106.32,104.94,104.88,104,103.98
106.87,106.76,105.65,105.22,105.1,103.78
107.24,106.87,106.32,104.94,104.88,104
107.18,107.24,106.76,105.65,105.22,105.1
106.91,107.18,106.87,106.32,104.94,104.88
107.58,106.91,107.24,106.76,105.65,105.22
108.69,107.58,107.18,106.87,106.32,104.94
108.96,108.69,106.91,107.24,106.76,105.65
108.88,108.96,107.58,107.18,106.87,106.32
108.82,108.88,108.69,106.91,107.24,106.76
108.92,108.82,108.96,107.58,107.18,106.87
108.7,108.92,108.88,108.69,106.91,107.24
109.32,108.7,108.82,108.96,107.58,107.18
109.34,109.32,108.92,108.88,108.69,106.91
109.66,109.34,108.7,108.82,108.96,107.58
109.3,109.66,109.32,108.92,108.88,108.69
108.1,109.3,109.34,108.7,108.82,108.96
109.7,108.1,109.66,109.32,108.92,108.88
109.08,109.7,109.3,109.34,108.7,108.82
108.3,109.08,108.1,109.66,109.32,108.92
108.41,108.3,109.7,109.3,109.34,108.7
108,108.41,109.08,108.1,109.66,109.32
107.83,108,108.3,109.7,109.3,109.34
107.15,107.83,108.41,109.08,108.1,109.66
106.06,107.15,108,108.3,109.7,109.3
105.98,106.06,107.83,108.41,109.08,108.1
106.72,105.98,107.15,108,108.3,109.7
106.87,106.72,106.06,107.83,108.41,109.08
106.7,106.87,105.98,107.15,108,108.3
107.32,106.7,106.72,106.06,107.83,108.41
108.16,107.32,106.87,105.98,107.15,108
108.06,108.16,106.7,106.72,106.06,107.83
107.71,108.06,107.32,106.87,105.98,107.15
108,107.71,108.16,106.7,106.72,106.06
108.1,108,108.06,107.32,106.87,105.98
108.94,108.1,107.71,108.16,106.7,106.72
112.09,108.94,108,108.06,107.32,106.87
113.92,112.09,108.1,107.71,108.16,106.7
113.44,113.92,108.94,108,108.06,107.32
114.62,113.44,112.09,108.1,107.71,108.16
114.87,114.62,113.92,108.94,108,108.06
114.73,114.87,113.44,112.09,108.1,107.71
114.78,114.73,114.62,113.92,108.94,108
115.42,114.78,114.87,113.44,112.09,108.1
115.63,115.42,114.73,114.62,113.92,108.94
116.52,115.63,114.78,114.87,113.44,112.09
116.44,116.52,115.42,114.73,114.62,113.92
116.76,116.44,115.63,114.78,114.87,113.44
117.7,116.76,116.52,115.42,114.73,114.62
118.14,117.7,116.44,115.63,114.78,114.87
117.74,118.14,116.76,116.52,115.42,114.73
118.39,117.74,117.7,116.44,115.63,114.78
117.99,118.39,118.14,116.76,116.52,115.42
117.6,117.99,117.74,117.7,116.44,115.63
118.7,117.6,118.39,118.14,116.76,116.52
118.14,118.7,117.99,117.74,117.7,116.44
119.1,118.14,117.6,118.39,118.14,116.76
119.82,119.1,118.7,117.99,117.74,117.7
119.67,119.82,118.14,117.6,118.39,118.14
121.38,119.67,119.1,118.7,117.99,117.74
120.89,121.38,119.82,118.14,117.6,118.39
118.87,120.89,119.67,119.1,118.7,117.99
118.5,118.87,121.38,119.82,118.14,117.6
119.4,118.5,120.89,119.67,119.1,118.7
118.22,119.4,118.87,121.38,119.82,118.14
117.75,118.22,118.5,120.89,119.67,119.1
117.28,117.75,119.4,118.87,121.38,119.82
117.64,117.28,118.22,118.5,120.89,119.67
118.84,117.64,117.75,119.4,118.87,121.38
119.56,118.84,117.28,118.22,118.5,120.89
119.84,119.56,117.64,117.75,119.4,118.87
120.68,119.84,118.84,117.28,118.22,118.5
120.45,120.68,119.56,117.64,117.75,119.4
120.57,120.45,119.84,118.84,117.28,118.22
119.34,120.57,120.68,119.56,117.64,117.75
119.85,119.34,120.45,119.84,118.84,117.28
120.2,119.85,120.57,120.68,119.56,117.64
119.64,120.2,119.34,120.45,119.84,118.84
118.26,119.64,119.85,120.57,120.68,119.56
119.52,118.26,120.2,119.34,120.45,119.84
119.51,119.52,119.64,119.85,120.57,120.68
118.66,119.51,118.26,120.2,119.34,120.45
118.32,118.66,119.52,119.64,119.85,120.57
118.16,118.32,119.51,118.26,120.2,119.34
116.78,118.16,118.66,119.52,119.64,119.85
116.95,116.78,118.32,119.51,118.26,120.2
117.45,116.95,118.16,118.66,119.52,119.64
118.48,117.45,116.78,118.32,119.51,118.26
117.86,118.48,116.95,118.16,118.66,119.52
117.92,117.86,117.45,116.78,118.32,119.51
117.8,117.92,118.48,116.95,118.16,118.66
118.38,117.8,117.86,117.45,116.78,118.32
117.62,118.38,117.92,118.48,116.95,118.16
117.74,117.62,117.8,117.86,117.45,116.78
118.31,117.74,118.38,117.92,118.48,116.95
117.44,118.31,117.62,117.8,117.86,117.45
117.33,117.44,117.74,118.38,117.92,118.48
117.48,117.33,118.31,117.62,117.8,117.86
117.58,117.48,117.44,117.74,118.38,117.92
117.4,117.58,117.33,118.31,117.62,117.8
119.16,117.4,117.48,117.44,117.74,118.38
118.7,119.16,117.58,117.33,118.31,117.62
119.32,118.7,117.4,117.48,117.44,117.74
120.38,119.32,119.16,117.58,117.33,118.31
118.72,120.38,118.7,117.4,117.48,117.44
118.7,118.72,119.32,119.16,117.58,117.33
118.99,118.7,120.38,118.7,117.4,117.48
119.19,118.99,118.72,119.32,119.16,117.58
118.84,119.19,118.7,120.38,118.7,117.4
118.68,118.84,118.99,118.72,119.32,119.16
118.88,118.68,119.19,118.7,120.38,118.7
119.13,118.88,118.84,118.99,118.72,119.32
118.88,119.13,118.68,119.19,118.7,120.38
119.36,118.88,118.88,118.84,118.99,118.72
119.72,119.36,119.13,118.68,119.19,118.7
120.06,119.72,118.88,118.88,118.84,118.99
119.47,120.06,119.36,119.13,118.68,119.19
119.76,119.47,119.72,118.88,118.88,118.84
120.22,119.76,120.06,119.36,119.13,118.68
120.93,120.22,119.47,119.72,118.88,118.88
121.17,120.93,119.76,120.06,119.36,119.13
121.2,121.17,120.22,119.47,119.72,118.88
121.5,121.2,120.93,119.76,120.06,119.36
121.28,121.5,121.17,120.22,119.47,119.72
121.17,121.28,121.2,120.93,119.76,120.06
121.3,121.17,121.5,121.17,120.22,119.47
121.28,121.3,121.28,121.2,120.93,119.76
120.92,121.28,121.17,121.5,121.17,120.22
120.9,120.92,121.3,121.28,121.2,120.93
120.28,120.9,121.28,121.17,121.5,121.17
119.74,120.28,120.92,121.3,121.28,121.2
119.9,119.74,120.9,121.28,121.17,121.5
119.37,119.9,120.28,120.92,121.3,121.28
119.01,119.37,119.74,120.9,121.28,121.17
119.15,119.01,119.9,120.28,120.92,121.3
120.11,119.15,119.37,119.74,120.9,121.28
119.96,120.11,119.01,119.9,120.28,120.92
119.62,119.96,119.15,119.37,119.74,120.9
119.74,119.62,120.11,119.01,119.9,120.28
118.96,119.74,119.96,119.15,119.37,119.74
119.05,118.96,119.62,120.11,119.01,119.9
120.36,119.05,119.74,119.96,119.15,119.37
119.96,120.36,118.96,119.62,120.11,119.01
120.32,119.96,119.05,119.74,119.96,119.15
120.29,120.32,120.36,118.96,119.62,120.11
120.32,120.29,119.96,119.05,119.74,119.96
119.26,120.32,120.32,120.36,118.96,119.62
119.23,119.26,120.29,119.96,119.05,119.74
119.18,119.23,120.32,120.32,120.36,118.96
119.02,119.18,119.26,120.29,119.96,119.05
119.27,119.02,119.23,120.32,120.32,120.36
119.45,119.27,119.18,119.26,120.29,119.96
119.9,119.45,119.02,119.23,120.32,120.32
119.69,119.9,119.27,119.18,119.26,120.29
118.98,119.69,119.45,119.02,119.23,120.32
119.12,118.98,119.9,119.27,119.18,119.26
118.8,119.12,119.69,119.45,119.02,119.23
118.83,118.8,118.98,119.9,119.27,119.18
119.86,118.83,119.12,119.69,119.45,119.02
120.21,119.86,118.8,118.98,119.9,119.27
120.25,120.21,118.83,119.12,119.69,119.45
119.87,120.25,119.86,118.8,118.98,119.9
119.42,119.87,120.21,118.83,119.12,119.69
119.74,119.42,120.25,119.86,118.8,118.98
119.78,119.74,119.87,120.21,118.83,119.12
120.05,119.78,119.42,120.25,119.86,118.8
119.8,120.05,119.74,119.87,120.21,118.83
119.09,119.8,119.78,119.42,120.25,119.86
119.2,119.09,120.05,119.74,119.87,120.21
119.36,119.2,119.8,119.78,119.42,120.25
119.82,119.36,119.09,120.05,119.74,119.87
120.58,119.82,119.2,119.8,119.78,119.42
121.28,120.58,119.36,119.09,120.05,119.74
121.06,121.28,119.82,119.2,119.8,119.78
121.45,121.06,120.58,119.36,119.09,120.05
123.08,121.45,121.28,119.82,119.2,119.8
123.76,123.08,121.06,120.58,119.36,119.09
124.18,123.76,121.45,121.28,119.82,119.2
123.98,124.18,123.08,121.06,120.58,119.36
124.64,123.98,123.76,121.45,121.28,119.82
124.19,124.64,124.18,123.08,121.06,120.58
124.06,124.19,123.98,123.76,121.45,121.28
124.56,124.06,124.64,124.18,123.08,121.06
125.58,124.56,124.19,123.98,123.76,121.45
125.08,125.58,124.06,124.64,124.18,123.08
124.16,125.08,124.56,124.19,123.98,123.76
122.72,124.16,125.58,124.06,124.64,124.18
123.62,122.72,125.08,124.56,124.19,123.98
123.23,123.62,124.16,125.58,124.06,124.64
123.38,123.23,122.72,125.08,124.56,124.19
123.39,123.38,123.62,124.16,125.58,124.06
124.25,123.39,123.23,122.72,125.08,124.56
122.87,124.25,123.38,123.62,124.16,125.58
122.7,122.87,123.39,123.23,122.72,125.08
123.28,122.7,124.25,123.38,123.62,124.16
123.71,123.28,122.87,123.39,123.23,122.72
124.24,123.71,122.7,124.25,123.38,123.62
123.63,124.24,123.28,122.87,123.39,123.23
123.92,123.63,123.71,122.7,124.25,123.38
122.5,123.92,124.24,123.28,122.87,123.39
122.1,122.5,123.63,123.71,122.7,124.25
123.02,122.1,123.92,124.24,123.28,122.87
123.14,123.02,122.5,123.63,123.71,122.7
122.53,123.14,122.1,123.92,124.24,123.28
122.16,122.53,123.02,122.5,123.63,123.71
120.54,122.16,123.14,122.1,123.92,124.24
121.22,120.54,122.53,123.02,122.5,123.63
122.75,121.22,122.16,123.14,122.1,123.92
123.35,122.75,120.54,122.53,123.02,122.5
123.39,123.35,121.22,122.16,123.14,122.1
123.89,123.39,122.75,120.54,122.53,123.02
124.04,123.89,123.35,121.22,122.16,123.14
124,124.04,123.39,122.75,120.54,122.53
124.24,124,123.89,123.35,121.22,122.16
123.93,124.24,124.04,123.39,122.75,120.54
124.08,123.93,124,123.89,123.35,121.22
123.88,124.08,124.24,124.04,123.39,122.75
123.74,123.88,123.93,124,123.89,123.35
123.24,123.74,124.08,124.24,124.04,123.39
123.52,123.24,123.88,123.93,124,123.89
123.86,123.52,123.74,124.08,124.24,124.04
124.38,123.86,123.24,123.88,123.93,124
123.94,124.38,123.52,123.74,124.08,124.24
123.98,123.94,123.86,123.24,123.88,123.93
124,123.98,124.38,123.52,123.74,124.08
124.84,124,123.94,123.86,123.24,123.88
124.6,124.84,123.98,124.38,123.52,123.74
124.27,124.6,124,123.94,123.86,123.24
124.55,124.27,124.84,123.98,124.38,123.52
124.9,124.55,124.6,124,123.94,123.86
123.87,124.9,124.27,124.84,123.98,124.38
124.32,123.87,124.55,124.6,124,123.94
